contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
AAPL260618P00095000,2025-02-11 15:03:35+00:00,95.0,0.6,0.5,0.63,0.0,0.0,1.0,142.0,0.4128476684570312,False,REGULAR,USD,2026-06-18
AAPL260618P00100000,2025-02-14 19:17:37+00:00,100.0,0.63,0.6,0.71,-0.06999999,-9.999999,2.0,1111.0,0.39990834472656256,False,REGULAR,USD,2026-06-18
AAPL260618P00105000,2025-02-04 18:29:07+00:00,105.0,0.72,0.65,0.79,-0.099999964,-12.195117,2.0,1471.0,0.38672488281249995,False,REGULAR,USD,2026-06-18
AAPL260618P00110000,2025-01-27 20:38:35+00:00,110.0,1.0,0.75,0.88,0.0,0.0,307.0,1753.0,0.37439590454101557,False,REGULAR,USD,2026-06-18
AAPL260618P00115000,2025-02-03 20:39:03+00:00,115.0,1.18,0.9,0.99,0.0,0.0,2.0,862.0,0.3632876171875,False,REGULAR,USD,2026-06-18
AAPL260618P00120000,2025-02-04 14:50:23+00:00,120.0,1.33,1.0,1.11,0.0,0.0,10.0,1409.0,0.3523013989257812,False,REGULAR,USD,2026-06-18
AAPL260618P00125000,2025-02-14 15:51:24+00:00,125.0,1.17,1.15,1.24,-0.49,-29.518072,1.0,912.0,0.34168138793945313,False,REGULAR,USD,2026-06-18
AAPL260618P00130000,2025-02-14 20:57:27+00:00,130.0,1.35,1.27,1.42,-0.29999995,-18.181816,2.0,420.0,0.33313655151367194,False,REGULAR,USD,2026-06-18
AAPL260618P00135000,2025-01-28 14:36:11+00:00,135.0,1.92,1.45,1.6,0.0,0.0,1.0,780.0,0.3238593005371093,False,REGULAR,USD,2026-06-18
AAPL260618P00140000,2025-02-14 16:55:45+00:00,140.0,1.71,1.65,1.77,-0.40999985,-19.339617,500.0,1546.0,0.31366653137207035,False,REGULAR,USD,2026-06-18
AAPL260618P00145000,2025-02-13 16:36:46+00:00,145.0,2.12,1.89,2.05,0.0,0.0,108.0,651.0,0.307074800415039,False,REGULAR,USD,2026-06-18
AAPL260618P00150000,2025-02-13 20:03:15+00:00,150.0,2.36,2.16,2.29,0.0,0.0,513.0,3020.0,0.2981637567138671,False,REGULAR,USD,2026-06-18
AAPL260618P00155000,2025-02-11 20:39:37+00:00,155.0,3.07,2.47,2.62,0.0,0.0,10.0,564.0,0.2913889221191405,False,REGULAR,USD,2026-06-18
AAPL260618P00160000,2025-02-14 17:35:27+00:00,160.0,2.95,2.84,3.05,-0.20000005,-6.3492074,509.0,7626.0,0.2862009857177734,False,REGULAR,USD,2026-06-18
AAPL260618P00165000,2025-02-14 16:09:05+00:00,165.0,3.35,3.25,3.4,-0.25,-6.9444447,2.0,4486.0,0.27805287384033206,False,REGULAR,USD,2026-06-18
AAPL260618P00170000,2025-02-11 20:12:26+00:00,170.0,4.62,3.7,3.9,0.0,0.0,15.0,2314.0,0.2724376956176757,False,REGULAR,USD,2026-06-18
AAPL260618P00175000,2025-02-14 16:37:57+00:00,175.0,4.4,4.25,4.5,-0.75,-14.563107,2.0,2792.0,0.2676770010375976,False,REGULAR,USD,2026-06-18
AAPL260618P00180000,2025-02-13 20:05:46+00:00,180.0,5.22,4.85,5.05,0.0,0.0,45.0,2147.0,0.26084113189697267,False,REGULAR,USD,2026-06-18
AAPL260618P00185000,2025-02-13 20:24:43+00:00,185.0,6.05,5.55,5.8,0.0,0.0,65.0,758.0,0.25641612731933594,False,REGULAR,USD,2026-06-18
AAPL260618P00190000,2025-02-12 17:47:07+00:00,190.0,7.65,6.25,6.5,0.0,0.0,5.0,2892.0,0.2500075,False,REGULAR,USD,2026-06-18
AAPL260618P00195000,2025-02-13 20:31:29+00:00,195.0,7.75,7.1,7.35,0.0,0.0,91.0,650.0,0.2447280117797852,False,REGULAR,USD,2026-06-18
AAPL260618P00200000,2025-02-14 20:09:15+00:00,200.0,8.3,8.05,8.3,-1.3800001,-14.2562,115.0,2061.0,0.23966214447021478,False,REGULAR,USD,2026-06-18
AAPL260618P00205000,2025-02-14 20:59:57+00:00,205.0,9.1,9.1,9.35,-0.8499994,-8.542707,2.0,1471.0,0.23465731170654297,False,REGULAR,USD,2026-06-18
AAPL260618P00210000,2025-02-14 20:59:57+00:00,210.0,10.55,10.25,10.55,-2.62,-19.893698,474.0,1815.0,0.23020178985595702,False,REGULAR,USD,2026-06-18
AAPL260618P00215000,2025-02-14 14:44:57+00:00,215.0,11.89,11.55,11.75,-0.3899994,-3.175891,2.0,959.0,0.22449505981445309,False,REGULAR,USD,2026-06-18
AAPL260618P00220000,2025-02-14 20:05:35+00:00,220.0,13.15,12.85,13.2,-0.6000004,-4.3636394,2.0,1442.0,0.22023790023803708,False,REGULAR,USD,2026-06-18
AAPL260618P00225000,2025-02-14 16:30:29+00:00,225.0,14.7,14.4,14.75,-0.9499998,-6.0702868,7.0,722.0,0.21566030929565427,False,REGULAR,USD,2026-06-18
