contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
AAPL250919C00225000,2025-02-10 19:53:01+00:00,225.0,21.67,0.0,0.0,0.0,0.0,216.0,4045,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00230000,2025-02-10 20:02:44+00:00,230.0,18.75,0.0,0.0,0.0,0.0,87.0,2850,0.0039162109375,False,REGULAR,USD,2025-09-19
AAPL250919C00235000,2025-02-10 19:58:33+00:00,235.0,16.2,0.0,0.0,0.0,0.0,14.0,2707,0.007822421875,False,REGULAR,USD,2025-09-19
AAPL250919C00240000,2025-02-10 20:59:11+00:00,240.0,13.65,0.0,0.0,0.0,0.0,44.0,6391,0.015634843750000002,False,REGULAR,USD,2025-09-19
AAPL250919C00245000,2025-02-10 20:47:45+00:00,245.0,11.45,0.0,0.0,0.0,0.0,16.0,4925,0.015634843750000002,False,REGULAR,USD,2025-09-19
AAPL250919C00250000,2025-02-10 20:59:40+00:00,250.0,9.7,0.0,0.0,0.0,0.0,28.0,6540,0.0312596875,False,REGULAR,USD,2025-09-19
AAPL250919C00255000,2025-02-10 19:53:01+00:00,255.0,8.25,0.0,0.0,0.0,0.0,17.0,1770,0.0312596875,False,REGULAR,USD,2025-09-19
AAPL250919C00260000,2025-02-10 20:57:23+00:00,260.0,6.7,0.0,0.0,0.0,0.0,44.0,4253,0.0312596875,False,REGULAR,USD,2025-09-19
AAPL250919C00265000,2025-02-10 19:33:51+00:00,265.0,5.8,0.0,0.0,0.0,0.0,12.0,2976,0.0312596875,False,REGULAR,USD,2025-09-19
AAPL250919C00270000,2025-02-10 19:40:26+00:00,270.0,4.7,0.0,0.0,0.0,0.0,45.0,6287,0.062509375,False,REGULAR,USD,2025-09-19
AAPL250919C00275000,2025-02-10 20:54:30+00:00,275.0,3.7,0.0,0.0,0.0,0.0,21.0,4751,0.062509375,False,REGULAR,USD,2025-09-19
AAPL250919C00280000,2025-02-10 20:33:03+00:00,280.0,3.0,0.0,0.0,0.0,0.0,21.0,3416,0.062509375,False,REGULAR,USD,2025-09-19
AAPL250919C00285000,2025-02-10 20:49:42+00:00,285.0,2.42,0.0,0.0,0.0,0.0,12.0,1558,0.062509375,False,REGULAR,USD,2025-09-19
AAPL250919C00290000,2025-02-10 20:09:03+00:00,290.0,1.98,0.0,0.0,0.0,0.0,10.0,2962,0.062509375,False,REGULAR,USD,2025-09-19
AAPL250919C00295000,2025-02-07 19:38:27+00:00,295.0,1.8,0.0,0.0,0.0,0.0,6.0,1595,0.062509375,False,REGULAR,USD,2025-09-19
AAPL250919C00300000,2025-02-10 19:04:28+00:00,300.0,1.4,0.0,0.0,0.0,0.0,202.0,4472,0.062509375,False,REGULAR,USD,2025-09-19
AAPL250919C00305000,2025-02-10 15:02:42+00:00,305.0,1.19,0.0,0.0,0.0,0.0,5.0,1709,0.062509375,False,REGULAR,USD,2025-09-19
AAPL250919C00310000,2025-02-10 15:50:19+00:00,310.0,0.97,0.0,0.0,0.0,0.0,4.0,2581,0.062509375,False,REGULAR,USD,2025-09-19
AAPL250919C00320000,2025-02-10 15:43:29+00:00,320.0,0.67,0.0,0.0,0.0,0.0,32.0,3833,0.062509375,False,REGULAR,USD,2025-09-19
AAPL250919C00330000,2025-02-10 20:21:28+00:00,330.0,0.45,0.0,0.0,0.0,0.0,1.0,1146,0.12500875,False,REGULAR,USD,2025-09-19
AAPL250919C00340000,2025-02-07 20:39:51+00:00,340.0,0.37,0.0,0.0,0.0,0.0,1.0,765,0.12500875,False,REGULAR,USD,2025-09-19
AAPL250919C00350000,2025-02-10 14:50:28+00:00,350.0,0.28,0.0,0.0,0.0,0.0,2.0,3557,0.12500875,False,REGULAR,USD,2025-09-19
AAPL250919C00360000,2025-02-07 19:59:21+00:00,360.0,0.24,0.0,0.0,0.0,0.0,1.0,216,0.12500875,False,REGULAR,USD,2025-09-19
AAPL250919C00370000,2025-02-04 14:44:11+00:00,370.0,0.23,0.0,0.0,0.0,0.0,1.0,96,0.12500875,False,REGULAR,USD,2025-09-19
AAPL250919C00380000,2025-02-03 15:36:27+00:00,380.0,0.21,0.0,0.0,0.0,0.0,14.0,125,0.12500875,False,REGULAR,USD,2025-09-19
AAPL250919C00390000,2025-02-10 16:27:25+00:00,390.0,0.11,0.0,0.0,0.0,0.0,2.0,138,0.12500875,False,REGULAR,USD,2025-09-19
AAPL251017C00115000,2025-01-28 18:34:14+00:00,115.0,127.6,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17
AAPL251017C00125000,2025-01-31 17:09:10+00:00,125.0,118.14,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17
AAPL251017C00130000,2025-02-10 14:40:01+00:00,130.0,104.35,0.0,0.0,0.0,0.0,1.0,11,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17
AAPL251017C00140000,2025-01-07 15:54:37+00:00,140.0,109.6,0.0,0.0,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17
AAPL251017C00145000,2025-01-22 15:46:57+00:00,145.0,82.7,0.0,0.0,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17
AAPL251017C00150000,2025-02-05 16:15:18+00:00,150.0,85.05,0.0,0.0,0.0,0.0,1.0,6,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17
AAPL251017C00155000,2025-02-06 20:50:35+00:00,155.0,82.94,0.0,0.0,0.0,0.0,10.0,17,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17
AAPL251017C00160000,2025-01-16 19:15:00+00:00,160.0,75.8,0.0,0.0,0.0,0.0,4.0,8,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17
AAPL251017C00165000,2025-02-04 14:30:02+00:00,165.0,70.45,0.0,0.0,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17
AAPL251017C00170000,2025-01-14 20:02:46+00:00,170.0,70.45,0.0,0.0,0.0,0.0,,19,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17
AAPL251017C00175000,2025-02-10 15:04:28+00:00,175.0,61.92,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17
